Prep,Frame,H,M,Phase,Combo,Bout,Time,Class,Type,Moves,AComp,DComp
,,,,,,,,,,,,
917,319,6,22,S,H6M22,5,2.707154785,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,320,6,23,S,H6M23,5,2.715661996,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,321,6,21,S,H6M21,5,2.724169208,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,323,5,8,S,H5M8,5,2.74118363,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,325,6,25,S,H6M25,5,2.758198053,I,TR,NaN,P,TR
,,,,,,,,,,,,
917,325,6,28,S,H6M28,5,2.758198053,I,VO,NaN,P,V
,,,,,,,,,,,,
917,328,4,8,S,H4M8,5,2.783719686,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,328,4,28,S,H4M28,5,2.783719686,I,VO,NaN,A,V
,,,,,,,,,,,,
917,329,5,2,S,H5M2,5,2.792226898,II,DL,NaN,P,D
,,,,,,,,,,,,
917,329,5,23,S,H5M23,5,2.792226898,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,330,4,8,S,H4M8,5,2.800734109,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,331,4,2,S,H4M2,5,2.80924132,II,DL,NaN,A,D
,,,,,,,,,,,,
917,331,6,2,S,H6M2,5,2.80924132,II,DL,NaN,P,D
,,,,,,,,,,,,
917,331,3,8,S,H3M8,5,2.80924132,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,331,5,22,S,H5M22,5,2.80924132,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,331,5,24,S,H5M24,5,2.80924132,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,331,4,28,S,H4M28,5,2.80924132,I,VO,NaN,A,V
,,,,,,,,,,,,
917,334,3,2,S,H3M2,5,2.834762954,II,DL,NaN,A,D
,,,,,,,,,,,,
917,334,2,8,S,H2M8,5,2.834762954,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,334,3,28,S,H3M28,5,2.834762954,I,VO,NaN,A,V
,,,,,,,,,,,,
917,337,2,5,S,H2M5,5,2.860284588,I,DO,NaN,A,D
,,,,,,,,,,,,
917,337,3,5,S,H3M5,5,2.860284588,I,DO,NaN,A,D
,,,,,,,,,,,,
917,337,2,26,S,H2M26,5,2.860284588,I,VA,NaN,A,V
,,,,,,,,,,,,
917,339,2,2,S,H2M2,5,2.87729901,II,DL,NaN,A,D
,,,,,,,,,,,,
917,339,4,25,S,H4M25,5,2.87729901,I,TR,NaN,A,TR
,,,,,,,,,,,,
917,351,1,21,S,H1M21,5,2.979385545,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,351,1,22,S,H1M22,5,2.979385545,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,351,1,23,S,H1M23,5,2.979385545,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,361,7,13,S,H7M13,5,3.064457658,III,VL,NaN,P,V
,,,,,,,,,,,,
917,377,2,21,S,H2M21,6,3.200573038,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,389,1,4,S,H1M4,6,3.302659573,NaN,DL,NaN,A,D
,,,,,,,,,,,,
917,391,1,3,S,H1M3,6,3.319673995,II,DL,NaN,A,D
,,,,,,,,,,,,
917,406,1,12,S,H1M12,6,3.447282164,III,VL,NaN,A,V
,,,,,,,,,,,,
917,416,3,8,S,H3M8,6,3.532354276,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,416,4,8,S,H4M8,6,3.532354276,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,416,4,21,S,H4M21,6,3.532354276,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,417,5,22,S,H5M22,6,3.540861488,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,417,5,23,S,H5M23,6,3.540861488,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,418,5,8,S,H5M8,6,3.549368699,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,418,3,22,S,H3M22,6,3.549368699,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,418,4,22,S,H4M22,6,3.549368699,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,418,3,23,S,H3M23,6,3.549368699,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,418,4,23,S,H4M23,6,3.549368699,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,418,5,25,S,H5M25,6,3.549368699,I,TR,NaN,P,TR
,,,,,,,,,,,,
917,419,2,8,S,H2M8,6,3.55787591,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,419,3,24,S,H3M24,6,3.55787591,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,419,4,28,S,H4M28,6,3.55787591,I,VO,NaN,A,V
,,,,,,,,,,,,
917,420,3,2,S,H3M2,6,3.566383121,II,DL,NaN,A,D
,,,,,,,,,,,,
917,420,3,25,S,H3M25,6,3.566383121,I,TR,NaN,A,TR
,,,,,,,,,,,,
917,420,3,26,S,H3M26,6,3.566383121,I,VA,NaN,A,V
,,,,,,,,,,,,
917,422,3,28,S,H3M28,6,3.583397544,I,VO,NaN,A,V
,,,,,,,,,,,,
